MongoDB shell version: 2.0.2
connecting to: localhost:27017/ingestion_batch_job
1,A1-job-key,22Aug2012-14-0-MediumSampleDataSet.zip,22Aug2012-14-5-MediumSampleDataSet.zip,22Aug2012-14-9-MediumSampleDataSet.zip,22Aug2012-14-14-MediumSampleDataSet.zip
1,Avg-b2-stage-PersistenceProcessor-InterchangeStudentParent-xml-recordCount,422,465,420,453
1,Avg-b2-stage-PersistenceProcessor-InterchangeStudentProgram-xml-elapsedTime,1411,1140,1364,1975
1,Avg-b2-stage-PersistenceProcessor-InterchangeStudentProgram-xml-errorCount,,,502,
1,Avg-b2-stage-PersistenceProcessor-InterchangeStudentProgram-xml-recordCount,534,545,548,540
1,Avg-b2-stage-TransformationProcessor-assessment-elapsedTime,5,6,5,7
0,Avg-b2-stage-TransformationProcessor-assessment-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-assessmentFamily-elapsedTime,1,3,2,2
0,Avg-b2-stage-TransformationProcessor-assessmentFamily-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-assessmentItem-elapsedTime,1,1,2,2
0,Avg-b2-stage-TransformationProcessor-assessmentItem-recordCount,5,5,5,5
0,Avg-b2-stage-TransformationProcessor-assessmentPeriodDescriptor-elapsedTime,2,2,2,2
0,Avg-b2-stage-TransformationProcessor-assessmentPeriodDescriptor-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-attendance-elapsedTime,184,178,140,225
1,Avg-b2-stage-TransformationProcessor-attendance-recordCount,586,605,521,522
0,Avg-b2-stage-TransformationProcessor-calendarDate-elapsedTime,2,2,2,2
0,Avg-b2-stage-TransformationProcessor-calendarDate-recordCount,20,20,20,20
1,Avg-b2-stage-TransformationProcessor-cohort-elapsedTime,1,1,2,2
0,Avg-b2-stage-TransformationProcessor-cohort-recordCount,20,20,20,20
1,Avg-b2-stage-TransformationProcessor-course-elapsedTime,3,1,2,2
0,Avg-b2-stage-TransformationProcessor-course-recordCount,50,50,50,50
1,Avg-b2-stage-TransformationProcessor-courseOffering-elapsedTime,1,1,2,2
0,Avg-b2-stage-TransformationProcessor-courseOffering-recordCount,100,100,100,100
1,Avg-b2-stage-TransformationProcessor-disciplineAction-elapsedTime,4,3,5,4
1,Avg-b2-stage-TransformationProcessor-disciplineAction-recordCount,363,508,553,438
